reviewed_at,id,place_id,code,name,full_name,level,province,city,county,previous_status,attempt_count,error,review_category,review_note,suggested_next_action,resolution_status,resolved_at,resolution_source_url,resolution_note
2026-07-14T07:04:35.843434+00:00,origin:f26364216b3c1987824744116391885f0348a409,f26364216b3c1987824744116391885f0348a409,130372,北戴河新区,河北省/秦皇岛市/北戴河新区,county,河北省,秦皇岛市,北戴河新区,failed,4,国家地名信息库未找到符合过滤条件的候选,nonstandard_or_functional_area,"Functional zone, scenic area, island/reef area, new district, or administrative committee; may not match standard county-level geonames scope.",Keep needs_review; decide whether to exclude from origin queue or supplement from local/statistical sources.,manual_source_imported,2026-07-21T03:16:52.501642+00:00,https://www.bdhxq.gov.cn/,Imported into place_knowledge.csv from manually verified source.
2026-07-14T07:04:35.843434+00:00,origin:7c01ec1a0a1a3a4a49b2370407f9e3db791b58fa,7c01ec1a0a1a3a4a49b2370407f9e3db791b58fa,130473,邯郸冀南新区,河北省/邯郸市/邯郸冀南新区,county,河北省,邯郸市,邯郸冀南新区,failed,4,国家地名信息库未找到符合过滤条件的候选,nonstandard_or_functional_area,"Functional zone, scenic area, island/reef area, new district, or administrative committee; may not match standard county-level geonames scope.",Keep needs_review; decide whether to exclude from origin queue or supplement from local/statistical sources.,manual_source_imported,2026-07-21T03:16:52.501642+00:00,https://www.jinanxinqu.gov.cn/,Imported into place_knowledge.csv from manually verified source.
2026-07-14T07:04:35.843434+00:00,origin:93e62a9ab3dc5dcac91b66cc7f92402937e0bd72,93e62a9ab3dc5dcac91b66cc7f92402937e0bd72,130672,保定白沟新城,河北省/保定市/保定白沟新城,county,河北省,保定市,保定白沟新城,failed,4,国家地名信息库未找到符合过滤条件的候选; review_category=nonstandard_or_functional_area,nonstandard_or_functional_area,"Functional zone, new city/new district, scenic area, island/reef area, or administrative committee; may not match standard county-level geonames scope.",Keep needs_review; decide whether to exclude from origin queue or supplement from local/statistical sources.,manual_source_imported,2026-07-21T03:16:52.501642+00:00,https://bgxc.gov.cn/,Imported into place_knowledge.csv from manually verified source.
2026-07-14T07:04:35.843434+00:00,origin:d2dd6258500f8123c4e72c7e47399831f374c545,d2dd6258500f8123c4e72c7e47399831f374c545,130973,沧州渤海新区,河北省/沧州市/沧州渤海新区,county,河北省,沧州市,沧州渤海新区,failed,4,国家地名信息库未找到符合过滤条件的候选,nonstandard_or_functional_area,"Functional zone, scenic area, island/reef area, new district, or administrative committee; may not match standard county-level geonames scope.",Keep needs_review; decide whether to exclude from origin queue or supplement from local/statistical sources.,manual_source_imported,2026-07-21T03:16:52.501642+00:00,https://bhna.gov.cn/,Imported into place_knowledge.csv from manually verified source.
2026-07-14T07:04:35.843434+00:00,origin:f3ce419f7c0bcf6db303a9966ebf973f4ee0a871,f3ce419f7c0bcf6db303a9966ebf973f4ee0a871,131172,衡水滨湖新区,河北省/衡水市/衡水滨湖新区,county,河北省,衡水市,衡水滨湖新区,failed,3,国家地名信息库未找到符合过滤条件的候选,nonstandard_or_functional_area,"Functional zone, scenic area, island/reef area, new district, or administrative committee; may not match standard county-level geonames scope.",Keep needs_review; decide whether to exclude from origin queue or supplement from local/statistical sources.,manual_source_imported,2026-07-21T03:16:52.501642+00:00,https://www.hengshui.gov.cn/,Imported into place_knowledge.csv from manually verified source.
2026-07-14T07:04:35.843434+00:00,origin:d531f22fd8fffe8a8a3b8f89e4323b3933e2f6b4,d531f22fd8fffe8a8a3b8f89e4323b3933e2f6b4,140971,五台山风景名胜区,山西省/忻州市/五台山风景名胜区,county,山西省,忻州市,五台山风景名胜区,failed,3,国家地名信息库未找到符合过滤条件的候选,nonstandard_or_functional_area,"Functional zone, scenic area, island/reef area, new district, or administrative committee; may not match standard county-level geonames scope.",Keep needs_review; decide whether to exclude from origin queue or supplement from local/statistical sources.,manual_source_imported,2026-07-21T03:16:52.501642+00:00,https://wts.sxxz.gov.cn/wtszw/,Imported into place_knowledge.csv from manually verified source.
2026-07-14T07:04:35.843434+00:00,origin:75bdec894b5cc6a513d5f86f3bf85832724b93b6,75bdec894b5cc6a513d5f86f3bf85832724b93b6,220273,吉林中国新加坡食品区,吉林省/吉林市/吉林中国新加坡食品区,county,吉林省,吉林市,吉林中国新加坡食品区,failed,3,国家地名信息库未找到符合过滤条件的候选,nonstandard_or_functional_area,"Functional zone, scenic area, island/reef area, new district, or administrative committee; may not match standard county-level geonames scope.",Keep needs_review; decide whether to exclude from origin queue or supplement from local/statistical sources.,manual_source_imported,2026-07-21T03:16:52.501642+00:00,https://www.jlcity.gov.cn/,Imported into place_knowledge.csv from manually verified source.
2026-07-14T07:04:35.843434+00:00,origin:4de4d764f4201fd7ab2556770d7ad079814fee44,4de4d764f4201fd7ab2556770d7ad079814fee44,232761,加格达奇区,黑龙江省/大兴安岭地区/加格达奇区,county,黑龙江省,大兴安岭地区,加格达奇区,failed,3,国家地名信息库未找到符合过滤条件的候选,special_managed_area,Daxinganling special managed district; statistical division exists but MCA county-level candidate was not matched.,Keep needs_review; supplement from local government/geographical-name gazetteer sources.,manual_source_imported,2026-07-21T03:16:52.501642+00:00,https://www.cae.cn/cae/html/main/col148/2012-02/28/20120228201720289160942_1.html,Imported into place_knowledge.csv from manually verified source.
2026-07-14T07:04:35.843434+00:00,origin:312fa834f0bb2a02d7ff9938e35a7dd6e059b946,312fa834f0bb2a02d7ff9938e35a7dd6e059b946,232762,松岭区,黑龙江省/大兴安岭地区/松岭区,county,黑龙江省,大兴安岭地区,松岭区,failed,3,国家地名信息库未找到符合过滤条件的候选,special_managed_area,Daxinganling special managed district; statistical division exists but MCA county-level candidate was not matched.,Keep needs_review; supplement from local government/geographical-name gazetteer sources.,manual_source_imported,2026-07-21T03:16:52.501642+00:00,https://www.songling.gov.cn/songling/c100271/zoujin.shtml,Imported into place_knowledge.csv from manually verified source.
2026-07-14T07:04:35.843434+00:00,origin:3bd19d1adadf3bfdf7470b287101826a314fdcbc,3bd19d1adadf3bfdf7470b287101826a314fdcbc,232763,新林区,黑龙江省/大兴安岭地区/新林区,county,黑龙江省,大兴安岭地区,新林区,failed,3,国家地名信息库未找到符合过滤条件的候选,special_managed_area,Daxinganling special managed district; statistical division exists but MCA county-level candidate was not matched.,Keep needs_review; supplement from local government/geographical-name gazetteer sources.,manual_source_imported,2026-07-21T03:16:52.501642+00:00,https://www.dxalxl.gov.cn/dxalxl/c100485/202307/c13_149602.shtml,Imported into place_knowledge.csv from manually verified source.
